nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Real Fonderia b&b,€ 220,€ 136,Guadagna € 10 di Credito,Camera Matrimoniale Deluxe (2 Adulti + 1 Bambino),"Castellammare Vucciria, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,3.0,preferred_plus,False,False,462 recensioni,"0,8 km dal centro",True,Offerta Vacanze ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&B Attico 33,€ 115,€ 104,,Camera Matrimoniale con Bagno Privato,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,258 recensioni,"0,6 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Palermo alla Gancia,€ 75,€ 75,,Camera Matrimoniale Economy,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,,False,False,152 recensioni,"1,3 km dal centro",False,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Suite del Ponte Normanno Vespro,€ 111,€ 100,,Camera King Superior,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,229 recensioni,"1,7 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Vittorio Emanuele Rooms di Prinzi,€ 172,€ 155,,Camera Tripla con Bagno Privato,Palermo,2024-06-15,"8,7
Punteggio di 8,7",,3.0,preferred_plus,False,False,258 recensioni,"0,7 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&B Abbacò,€ 94,€ 85,,Camera Matrimoniale con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-06-15,"7,4
Punteggio di 7,4",,3.0,preferred,False,False,442 recensioni,450 m dal centro,True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
La casa di Chele,€ 114,€ 103,,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,4.0,,False,False,122 recensioni,"0,8 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Sicilia bedda,€ 72,€ 65,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,,False,False,44 recensioni,"1,5 km dal centro",True,,False,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Mille Lire,€ 90,€ 79,,Junior Suite con Balcone,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,,,False,False,235 recensioni,"1,4 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Amaranta,€ 72,€ 65,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"7,8
Punteggio di 7,8",,3.0,preferred,False,False,669 recensioni,"1,6 km dal centro",True,,False,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
