nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Ballarò Rooftop - Hot Tub - BBQ,€ 187,Appartamento con 2 Camere da Letto,"Albergaria, Palermo",2024-03-20,"9,3",9 recensioni,"1,3 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
3B Mondello Apartments,€ 211,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,10,4 recensioni,"9,8 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Due Cani Apartment,€ 179,Appartamento,"La Kalsa, Palermo",2024-03-20,"9,0",22 recensioni,1 km dal centro,False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
casa nike,€ 124,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"9,7",18 recensioni,"1,2 km dal centro",False,,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Normanni Central House,€ 86,Casa con 2 Camere da Letto,"Albergaria, Palermo",2024-03-20,"7,4",56 recensioni,"1,1 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
38 Aira Hotels,€ 136,Double Double Standard,"Castellammare Vucciria, Palermo",2024-03-20,"6,6",128 recensioni,"0,6 km dal centro",False,,True,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Broken column,€ 64,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"8,1",61 recensioni,"1,1 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Il mio posto ai Quattro Canti - Centro storico Palermo,€ 147,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"9,1",47 recensioni,"0,6 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Affittacamere Olimpo,€ 79,Appartamento Monolocale,Palermo,2024-03-20,"8,1",50 recensioni,"2,1 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Cathedral City Center Palermo 1,€ 58,Camera Matrimoniale con Bagno Privato,"Monte di Pietà, Palermo",2024-03-20,"8,5",2 recensioni,"0,6 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Ai quattro canti di città,€ 142,Appartamento,"La Kalsa, Palermo",2024-03-20,"9,3",68 recensioni,"0,8 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Dorotea,€ 224,Appartamento,"La Kalsa, Palermo",2024-03-20,"9,7",13 recensioni,"1,4 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Rosetta,€ 86,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"9,2",74 recensioni,"6,1 km dal centro",True,,True,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
La Kalsa di Somavi,€ 156,Casa Vacanze,"La Kalsa, Palermo",2024-03-20,"9,5",22 recensioni,"1,5 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Happy Home - Mondello,€ 103,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"9,2",6 recensioni,10 km dal centro,True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Terra D'Amuri,€ 104,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"9,6",34 recensioni,450 m dal centro,False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Kalamarina Rooms,€ 82,Camera Quadrupla con Doccia,"La Kalsa, Palermo",2024-03-20,"8,6",194 recensioni,1 km dal centro,False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Sol&Luna 1909,€ 149,Casa con 2 Camere da Letto,Palermo,2024-03-20,"9,5",46 recensioni,1 km dal centro,True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
ABT L'AURA,€ 69,Camera Matrimoniale con Bagno Privato,"Albergaria, Palermo",2024-03-20,"8,0",76 recensioni,"1,2 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
TRISOLE Palermo,€ 73,Appartamento,Palermo,2024-03-20,"9,2",68 recensioni,"1,9 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Al Cortiletto,€ 54,Monolocale,"La Kalsa, Palermo",2024-03-20,"7,0",118 recensioni,"1,1 km dal centro",False,,True,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Aromi di Sicilia Casa Vacanze,€ 90,Casa con 2 Camere da Letto,Palermo,2024-03-20,"8,1",19 recensioni,5 km dal centro,True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa nonno Enrico in via Oreto,€ 58,Camera Matrimoniale Standard,Palermo,2024-03-20,10,1 recensione,"1,5 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
I Mori-holiday apartment,€ 96,Appartamento con 2 Camere da Letto,"Borgo vecchio, Palermo",2024-03-20,"9,3",12 recensioni,"1,1 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
